code,date,roe_pct,dividend_payout_pct,revenue_growth_pct,net_profit_growth_pct
000063,2024-03-31,3.87,,4.9255,5.6392
000977,2024-03-31,1.68,,87.296,52.526
002371,2024-03-31,4.4,0.1922,51.3553,81.8076
002384,2024-03-31,1.57,,18.9385,-38.6491
002460,2024-03-31,-0.91,,-46.4106,-127.5258
002475,2024-03-31,4.19,0.0031,4.9346,22.5206
002594,2024-03-31,3.19,,3.9699,9.1736
300014,2024-03-31,2.98,,-16.7021,-18.7946
300308,2024-03-31,6.43,,163.5883,320.174
300502,2024-03-31,5.6,,85.4068,200.9608
300750,2024-03-31,5.06,0.0006,-10.4086,11.0612
600050,2024-03-31,1.51,,2.3395,7.4979
600188,2024-03-31,4.75,0.5424,-10.7783,-22.2356
600941,2024-03-31,2.21,,5.169,5.5051
601088,2024-03-31,3.73,0.3501,0.6951,-12.43
601138,2024-03-31,2.88,0.0302,12.0876,34.2392
601225,2024-03-31,4.9,0.0024,-9.7299,-28.7444
601288,2024-03-31,2.35,,,-1.7694
601398,2024-03-31,2.27,,,-2.9834
601658,2024-03-31,2.57,,,-1.2479
601728,2024-03-31,1.9,,3.6541,8.2311
601898,2024-03-31,3.32,0.0096,-23.2662,-29.6598
601939,2024-03-31,2.68,,,-2.5127
601988,2024-03-31,2.11,,,-2.8384
603799,2024-03-31,1.5,0.0318,-21.7036,-61.1028
