symbol,market,stooq_symbol,asof,price,ma50,ma200,high52,low52,dist_52w_high,ret_12m,vol_ratio_50,market_cap,shares_out,float_shares,eps_yoy,rev_yoy,eps_cagr3,roe,inst_own,dilution_yoy,stooq_close,stooq_date,px_diff,source_note,finviz_ok,C,A,N,S,L,I,M,letters_pass,excess_ret_12m,rs_proxy,buypoint_ready,status,stop8,stop7,title
GOOGL,US,googl.us,2026-02-20,314.9800109863281,320.239599609375,245.7284497833252,349.0,140.52999877929688,-0.09747847854920311,0.7001133681797387,1.5389208446602263,3810313371648.0,5822000000.0,10832742530.0,0.31120000000000003,0.17995418217251138,0.3333790189024399,0.35700000000000004,0.3835,-0.017433919820036958,314.98,2026-02-20,-3.4879445443003476e-08,yfinance+finviz+stooq,True,True,True,True,True,True,True,True,6,0.5755461171448484,100.0,False,候选机会(待买点),289.7816101074219,292.9314102172852,Google (Alphabet)
TSM,US,tsm.us,2026-02-20,370.5400085449219,326.00619934082033,268.2980997467041,380.0,134.25,-0.02489471435546875,0.843941349451029,0.6894578761643446,1921807548416.0,5186504904.0,24167173380.0,0.34965383663119975,0.255,0.2528545511629232,0.35223999999999994,0.1558,1.4578121317505814e-05,370.54,2026-02-20,-2.306072666158343e-08,yfinance+finviz+stooq,True,True,True,True,True,True,False,True,5,0.7193740984161388,100.0,False,候选机会(待买点),340.8968078613281,344.60220794677736,Taiwan Semiconductor (TSMC)
9992.HK,HK,9992.hk,2026-02-20,244.39999389648438,210.8319989013672,239.7429988861084,339.79998779296875,101.5999984741211,-0.2807533764674798,1.3432405248847727,0.48281164390498854,324596858880.0,1328137713.0,662248664.0,,,0.5591649295507157,0.61409,0.18712999,-0.006285686151348819,244.4,2026-02-20,2.497346884844376e-08,yfinance+stooq,False,False,True,False,True,True,False,True,3,1.1348295825909906,100.0,False,暂不符合,224.84799438476563,227.29199432373048,Pop Mart
0883.HK,HK,883.hk,2026-02-20,25.700000762939453,22.252799949645997,19.896749954223633,26.15999984741211,15.5,-0.01758406296467019,0.35978842760092977,0.6137803211862045,1268585070592.0,44539953984.0,17093672651.0,,,0.22696671621380693,0.16359,0.02626,-0.00028347196383877516,25.7,2026-02-20,-2.9686359148684005e-08,yfinance+stooq,False,False,False,True,True,False,False,True,2,0.15137748530714767,65.13774853071476,False,暂不符合,23.644000701904297,23.901000709533694,CNOOC (HK)
META,US,meta.us,2026-02-20,655.6599731445312,657.0189990234375,690.1849496459961,796.25,479.79998779296875,-0.17656518286401102,-0.06836046585042477,0.8869749189746104,1658528202752.0,2187177748.0,2182525750.0,0.10710000000000001,0.2378,0.2010990764322398,0.30238,0.6648999999999999,-0.005705591479650057,655.66,2026-02-20,4.0959445168908815e-08,yfinance+finviz+stooq,True,False,False,False,True,False,True,True,2,-0.19292771688531507,30.707228311468494,False,暂不符合,603.2071752929688,609.7637750244141,Meta Platforms
AMZN,US,amzn.us,2026-02-20,210.11000061035156,228.51739959716798,223.97185020446778,258.6000061035156,161.3800048828125,-0.18750968425636416,-0.07289416192265985,1.3627213423559896,2255514238976.0,10734920870.0,9754178499.0,0.04838709677419347,0.13628908579705207,,0.22286,0.6607,0.009887137393899823,210.11,2026-02-20,-2.9049143090986718e-09,yfinance+finviz+stooq,True,False,False,False,True,False,True,True,2,-0.19746141295755015,30.253858704244983,False,暂不符合,193.30120056152344,195.40230056762695,Amazon
NET,US,net.us,2026-02-20,177.13999938964844,189.55240020751953,195.88560012817382,260.0,89.41999816894531,-0.3186923100398137,0.10305749691242072,1.5615293803159636,62333263872.0,317319000.0,315202780.0,0.0802,0.3067903330062639,,-0.08163999999999999,0.8064,0.02053243744343328,177.14,2026-02-20,3.4455884811990245e-09,yfinance+finviz+stooq,True,False,False,False,True,False,False,True,1,-0.021509754122469582,47.84902458775304,False,暂不符合,162.96879943847657,164.74019943237306,Cloudflare
UBER,US,uber.us,2026-02-20,73.86000061035156,80.33980010986328,88.82060028076172,101.98999786376953,60.630001068115234,-0.27581133290140736,-0.08994581964473114,0.943305543158949,153468551168.0,2058115983.0,2047002157.0,-0.956386292834891,0.20127100928171252,,0.39925998,0.8101,-0.014331032481627598,73.86,2026-02-20,-8.263627893079217e-09,yfinance+finviz+stooq,True,False,False,False,True,False,False,True,1,-0.21451307067962144,28.548692932037856,False,暂不符合,67.95120056152344,68.68980056762696,Uber Technologies
NVDA,US,nvda.us,2026-02-20,189.82000732421875,184.8000003051758,173.18530055999756,212.19000244140625,86.62000274658203,-0.10542435958246765,0.3633556930913071,1.0672816416466875,4621547864064.0,24305000000.0,23330916000.0,0.6666666666666666,0.6249,0.9692258750242579,1.07359,0.6848000000000001,-0.00545308740978348,189.82,2026-02-20,-3.8585072581476254e-08,yfinance+finviz+stooq,True,True,True,True,True,False,True,True,5,0.2387884420564168,73.87884420564168,False,观察名单,174.63440673828126,176.53260681152344,NVIDIA
MU,US,mu.us,2026-02-20,428.1700134277344,344.63339935302736,199.43815006256102,455.5,61.540000915527344,-0.059999970520890455,3.102817276002045,0.8619396005261699,481909309440.0,1125509261.0,1121277346.0,1.7544910179640718,0.5665,-0.006929629272242499,0.2255,0.7962,0.006261180679785331,428.17,2026-02-20,-3.1360753771636496e-08,yfinance+finviz+stooq,True,True,False,True,True,True,False,True,4,2.9782500249671546,100.0,False,观察名单,393.9164123535156,398.19811248779297,Micron Technology
